,Unnamed: 0,Unnamed: 0.1,2连板,2连板个股,3连板,3连板个股,3连板以上个股,3连板以上个股数,代表股票,强弱,涨停,炸板,红盘,绿盘,跌停,连板
0,0,2021/1/1,12.0,,4.0,智度股份;南山控股;世嘉科技;ST岩石,振邦智能4;泉阳泉4;青海春天4;一鸣食品4;吉大正元6;中晶科技10,6.0,,0.7093280829999999,68.0,34.0,2882.0,1181.0,8.0,46.0
1,1,2021/1/11,8.0,,2.0,苏常柴A;*ST力帆,宜宾纸业4；,3.0,,,55.0,26.0,791.0,3374.0,66.0,42.0
2,2,2021/1/13,11.0,,5.0,航天工程;南方轴承;路畅科技,宜宾纸业6,4.0,,,55.0,27.0,1118.0,3032.0,39.0,35.0
3,3,2021/1/14,7.0,,4.0,格力地产;宝光股份,路畅科技4;宜宾纸业7;航天工程4;南方轴承4;祖名股份7,8.0,,,85.0,18.0,2537.0,1559.0,43.0,66.0
4,4,2021/1/15,13.0,,2.0,南国置业,路畅科技5;航天工程5;宜宾纸业8,7.0,,,89.0,17.0,2993.0,1103.0,14.0,67.0
5,5,2021/1/18,12.0,,5.0,亚太药业;大东南;云南城投;祥和实业;我乐家居,路畅科技6;南国置业4;宜宾纸业9,3.0,,,120.0,33.0,3016.0,975.0,13.0,93.0
6,6,2021/1/19,9.0,,5.0,嘉凯城;石大胜华;爱施德;丹化科技;陕西黑猫,宜宾纸业10;路畅科技7;祥和实业4;亚太药业4;南国置业5,5.0,,,68.0,29.0,2377.0,1726.0,7.0,47.0
7,7,2021/1/20,8.0,,4.0,深华发A;南岭民爆;澳洋健康;宇晶股份,陕西黑猫4;亚太药业5;南国置业6;祥和实业5,4.0,,,69.0,14.0,1817.0,2218.0,6.0,53.0
8,8,2021/1/21,15.0,,5.0,永吉股份;莱茵体育;大东海A;华阳集团;翔港科技,南岭民爆4;澳洋健康4;陕西黑猫5;宇晶股份4;亚太药业6,5.0,,,74.0,33.0,2254.0,873.0,8.0,49.0
9,9,2021/1/22,11.0,,3.0,西大门;长华股份;天普股份,永吉股份4,1.0,,,48.0,23.0,1151.0,3009.0,22.0,33.0
10,10,2021/1/25,3.0,,2.0,退市刚泰;联泓新科,西大门4;长华股份4;天普股份4;永吉股份5,4.0,,,43.0,38.0,990.0,3181.0,38.0,34.0
11,11,2021/1/26,5.0,,0.0,,长华股份5,1.0,,,46.0,23.0,1490.0,2561.0,44.0,40.0
12,12,2021/1/27,10.0,,2.0,确成股份;嘉泽新能,长华股份6,1.0,,,61.0,28.0,2036.0,2027.0,25.0,48.0
13,13,2021/1/28,8.0,,2.0,祥源文化;小康股份,嘉泽新能4,1.0,,,38.0,37.0,1065.0,3037.0,49.0,27.0
14,14,2021/1/29,2.0,,1.0,君正集团,祥源文化4,1.0,,,31.0,19.0,1084.0,3068.0,54.0,26.0
15,15,2021/2/1,8.0,,2.0,中国中期;新宏泰,祥源文化5,1.0,,,77.0,28.0,2366.0,1765.0,97.0,66.0
16,16,2021/2/2,10.0,,3.0,同德化工;西大门;正平股份,新宏泰4,1.0,,,66.0,10.0,2366.0,1765.0,20.0,52.0
17,17,2021/2/3,5.0,,3.0,皖通科技;陕西黑猫;华文食品,,0.0,,,37.0,19.0,980.0,3169.0,20.0,29.0
18,18,2021/2/4,4.0,,1.0,万东医疗;,华文食品4;陕西黑猫4,2.0,,,41.0,10.0,893.0,3292.0,25.0,34.0
19,19,2021/2/5,3.0,,0.0,,万东医疗4,1.0,,,44.0,24.0,1294.0,2809.0,45.0,41.0
