日期,红盘,绿盘,涨停,跌停,炸板,3连板以上个股数,3连板以上个股,3连板,3连板个股,2连板,2连板个股,首板,备注
2023-02-08,1382,3539,31,0,17,3,信达证券6;中航电测5;捷荣技术4,1,宇通重工,5,鸿博股份;雷柏科技;三六零;物产金轮;金龙羽,22,信达是新股
2023-02-09,4214,718,32,2,20,2,中航电测6;宇通重工4,3,鸿博股份;金龙羽;三六零,3,新朋股份;金时科技;博菲电气,24,
2023-02-10,2190,2643,21,5,15,3,中航电测7;鸿博股份4;金龙羽4,1,金时科技,1,哈工智能,16,
2023-02-13,3509,1345,41,5,20,2,中航电测8;鸿博股份5,1,哈工智能,4,茂硕电源;科远智慧;南网能源;新乳业,34,
2023-02-14,2254,2586,23,1,15,0,,0,,3,宁夏建材;长龄液压;金达威,20,
2023-02-15,2167,2749,35,0,10,0,,1,宁夏建材,6,亿道信息;通宇通讯;英 力 特;新华传媒;香山股份;东港股份,28,
2023-02-16,508,4530,19,2,21,0,,1,亿道信息,3,锐明技术;智微智能;惠程科技,15,
2023-02-17,1894,2966,27,2,15,0,,2,锐明技术;智微智能,4,坤泰股份;凯撒文化;扬州金泉;特一药业,21,
2023-02-20,3998,976,39,4,10,0,,2,坤泰股份;扬州金泉,2,元隆雅图;麦趣尔,35,
2023-02-21,2938,1927,16,1,11,2,坤泰股份4;扬州金泉4,0,,2,威孚高科;东易日盛,12,"坤泰股份,扬州金泉新股"
2023-02-22,2255,2590,25,1,5,2,扬州金泉5;坤泰股份5,1,东易日盛,1,晋拓股份,21,
2023-02-23,1845,3016,22,1,5,2,坤泰股份6;扬州金泉6,1,晋拓股份,2,多伦科技;三变科技,17,
2023-02-24,1766,3092,14,0,9,2,坤泰股份7;晋拓股份4,1,三变科技,0,,11,
2023-02-27,1057,3914,17,0,12,0,,0,,1,九牧王,16,
2023-02-28,3822,1133,23,1,7,0,,1,九牧王,4,众合科技;多利科技;欣贺股份;华脉科技,18,
2023-03-01,3478,1392,28,0,14,1,九牧王4,1,华脉科技,2,恒久科技;中通国脉,24,
2023-03-02,1709,3183,24,3,14,2,九牧王5;华脉科技4,1,恒久科技,2,苏州科达;魅视科技,19,
2023-03-03,2224,2648,19,3,6,1,华脉科技5,0,,1,中公高科,17,
2023-03-06,2316,2587,19,2,9,0,,1,中公高科,4,四川黄金;金海通;中船科技;人人乐,14,
2023-03-07,445,4602,19,0,6,1,中公高科4,2,四川黄金;金海通,2,世嘉科技;新炬网络,14,
2023-03-08,3567,1342,23,0,4,2,四川黄金4;金海通4,2,新炬网络;世嘉科技,2,播恩集团;新城市,17,
2023-03-09,2357,2545,27,0,6,2,四川黄金5;金海通5,2,播恩集团;新城市,4,一彬科技;澳弘电子;上海电影;容大感光,19,
2023-03-10,746,4292,20,3,7,2,四川黄金6;播恩集团4,1,一彬科技,2,法尔胜;百利电气,15,
2023-03-13,2342,2582,33,1,8,2,四川黄金7;播恩集团5,1,法尔胜,1,宝地矿业,29,
2023-03-14,963,4074,19,2,10,3,四川黄金8;播恩集团6;法尔胜4,1,宝地矿业,4,中岩大地;上海建科;返利科技;新五丰,11,
2023-03-15,3568,1417,30,0,11,2,四川黄金9;宝地矿业4,2,上海建科;返利科技,1,中润资源,25,
2023-03-16,686,4354,18,5,4,3,四川黄金10;宝地矿业5;上海建科4,1,中润资源,2,亚光股份;北方国际,12,
