0,1,2,3,4,5,6,7,8,9,10
日期,涨停只数,跌停只数,停牌,两市交易(亿),沪市,沪市,沪市,深市,深市,深市
日期,涨停只数,跌停只数,停牌,两市交易(亿),上涨只数,平盘只数,下跌只数,上涨只数,平盘只数,下跌只数
02/26,64,17,20,9068.36,691,64,1063,1086,93,1189
02/25,75,8,20,9341.72,663,71,1083,617,55,1694
02/24,77,23,20,10639.01,768,86,962,1303,78,984
02/23,92,14,21,10215.33,611,51,1152,646,53,1667
02/22,125,13,20,12934.16,1114,46,653,1498,63,805
02/19,147,12,20,10425.73,1557,16,240,2081,19,265
02/18,139,8,24,10851.89,1544,27,242,2061,26,278
02/10,71,20,19,8753.17,1111,78,624,1425,109,832
02/09,92,12,22,8373.54,1443,68,301,1929,56,378
02/08,81,40,22,8061.96,925,87,797,1086,89,1184
02/05,69,70,22,8911.08,600,65,1141,652,74,1632
02/04,66,55,20,9424.98,382,30,1392,487,32,1839
02/03,68,35,20,9537.25,417,43,1344,535,51,1771
02/02,104,39,20,9009.98,902,78,824,1099,87,1170
02/01,109,106,21,8567.35,1041,52,711,1291,64,1005
01/29,50,64,22,9521.88,456,36,1310,605,52,1701
01/28,65,51,27,9155.80,432,63,1306,620,76,1661
01/27,98,30,27,9231.48,866,81,853,1115,91,1148
01/26,83,48,27,10140.53,641,85,1073,832,97,1424
01/25,74,41,28,12083.02,463,37,1299,516,29,1807
01/22,72,25,26,11136.76,487,31,1280,643,38,1670
01/21,105,10,28,10856.57,921,116,760,1293,92,964
01/20,103,7,28,9156.50,748,71,977,1030,76,1241
01/19,106,8,28,10411.44,1017,59,719,1311,63,972
01/18,132,13,28,9982.05,1202,110,482,1757,113,477
01/15,106,16,28,10364.80,1228,70,494,1722,51,571
01/14,91,46,23,11214.18,1105,54,633,1391,69,884
01/13,59,49,23,12345.49,503,30,1259,580,35,1731
01/12,89,19,23,10902.44,1099,131,561,1417,104,823
01/11,57,83,23,12117.91,325,19,1447,450,32,1864
01/08,73,27,17,11322.76,832,72,887,1193,62,1090
01/06,63,36,19,11672.17,503,46,1241,571,30,1739
01/05,101,40,19,12664.45,740,50,999,893,59,1386
01/04,137,15,21,11643.82,1159,83,547,1655,63,620
12/31,72,10,22,9617.48,1298,105,386,1844,80,414
12/30,79,17,22,8470.10,918,119,750,1088,122,1127
12/29,76,63,22,8597.36,844,86,855,1235,74,1026
12/28,87,31,27,8810.69,503,53,1228,590,40,1705
12/25,101,18,28,7937.92,1160,89,533,1511,82,743
12/24,62,57,27,8260.87,366,33,1381,438,32,1863
12/23,72,22,25,9290.62,922,89,767,1160,115,1056
12/22,55,36,25,9576.40,274,30,1473,346,28,1957
12/21,80,14,20,8644.31,1116,89,570,1540,100,687
12/18,61,12,21,7712.73,657,58,1059,723,70,1533
12/17,66,28,21,7917.51,1201,58,514,1596,77,652
12/16,42,77,21,7009.83,490,56,1227,519,43,1764
12/15,50,61,22,7095.91,768,71,932,978,84,1265
12/14,63,34,24,7097.77,1021,64,684,1508,87,728
12/11,33,35,24,8349.38,358,36,1374,398,35,1893
12/10,41,26,24,7092.38,770,89,908,1050,95,1177
